4 150 2000
0.275172 0.172202 0.054734 0.291992
0.572290 0.524846 0.336460 0.502604
1.027126 0.965308 0.924057 0.976958
0.873507 0.923726 1.138846 0.938047
0.788946 0.913330 1.117231 0.883218
0.776262 0.938846 1.063763 0.859340
0.852367 0.975703 0.997781 0.867299
0.956659 1.006890 0.959102 0.893830
1.103231 1.040912 0.905633 0.891177
1.235710 1.025791 0.870367 0.843422
1.324500 0.934121 0.862404 0.790361
1.389330 0.883088 0.844202 0.731994
1.352687 0.876473 0.840789 0.681587
1.290675 0.894429 0.840789 0.672743
1.145512 0.913330 0.828275 0.727573
0.990483 0.884979 0.811211 0.806279
0.874917 0.836781 0.824862 0.898251
0.788946 0.820715 0.852165 0.955734
0.777671 0.808429 0.835101 0.930088
0.859414 0.785748 0.785045 0.838116
0.976390 0.769682 0.723614 0.708117
1.070816 0.763067 0.648531 0.579002
1.121553 0.814100 0.576860 0.456963
1.104641 0.881198 0.526805 0.353494
1.017261 0.926561 0.514291 0.340229
0.956659 0.919945 0.545007 0.368528
0.880554 0.885924 0.589374 0.437507
0.825589 0.845286 0.626916 0.522404
0.741028 0.771572 0.667870 0.639138
0.774853 0.728100 0.649668 0.736416
0.907332 0.676122 0.539319 0.770906
1.004577 0.622254 0.477887 0.777096
1.104641 0.597683 0.469924 0.739953
1.104641 0.631705 0.491539 0.642675
1.004577 0.675177 0.514291 0.532132
0.929881 0.696913 0.480163 0.418936
0.838273 0.683683 0.422144 0.318120
0.845320 0.671397 0.402804 0.280093
0.896057 0.635485 0.388015 0.283631
0.941156 0.578782 0.360712 0.335807
1.017261 0.576892 0.341373 0.385330
1.059542 0.642100 0.333409 0.375603
1.063770 0.749836 0.394841 0.355263
1.053904 0.814100 0.475612 0.300433
0.994711 0.788583 0.530218 0.245604
0.967934 0.748891 0.522255 0.216420
0.965115 0.735660 0.481300 0.204924
0.959478 0.768737 0.432382 0.160706
0.958068 0.793309 0.343648 0.129754
0.884782 0.794254 0.291317 0.181046
0.838273 0.850012 0.228748 0.297780
0.856595 0.901989 0.163904 0.351725
0.883373 0.897264 0.134325 0.368528
1.007396 0.866078 0.175280 0.311930
1.159605 0.833001 0.227610 0.191659
1.314634 0.818825 0.253776 0.112952
1.464025 0.887814 0.237849 0.082000
1.513353 0.977594 0.223060 0.148326
1.475300 1.025791 0.179830 0.248257
1.347049 1.019176 0.111573 0.343766
1.208933 0.910495 0.109298 0.394174
1.113097 0.829220 0.187794 0.391521
0.984846 0.771572 0.317483 0.339344
0.877735 0.762122 0.394841 0.250910
0.881963 0.815045 0.364125 0.201386
0.951022 0.912385 0.316345 0.190774
1.091957 1.031462 0.300418 0.215536
1.235710 1.108011 0.340235 0.250025
1.327318 1.142033 0.369813 0.238529
1.363961 1.142978 0.370951 0.130639
1.400605 1.102340 0.438071 0.096149
1.351277 1.044692 0.500640 0.094380
1.293494 0.988934 0.494952 0.147441
1.231482 0.980429 0.457410 0.287168
1.110278 0.997440 0.417593 0.441929
1.096185 1.044692 0.400529 0.606417
1.065179 1.072099 0.483575 0.716076
1.084910 1.080604 0.591650 0.718729
1.115916 1.029571 0.649668 0.674512
1.141284 1.010670 0.641705 0.583424
1.187793 1.031462 0.510878 0.508255
1.168062 1.076824 0.413043 0.464037
1.100413 1.095725 0.343648 0.364106
1.041220 1.053198 0.332272 0.335807
0.915788 0.993659 0.395978 0.350841
0.805858 0.912385 0.513154 0.404786
0.752303 0.854737 0.656494 0.523289
0.755122 0.850012 0.748641 0.634716
0.853776 0.905770 0.789596 0.696620
0.936928 0.971923 0.790733 0.743491
0.904513 0.944517 0.741816 0.727573
0.898876 0.884979 0.672421 0.693967
0.839683 0.820715 0.605301 0.658594
0.804449 0.742276 0.595062 0.623220
0.801630 0.719594 0.615540 0.594921
0.800221 0.755506 0.672421 0.586961
0.795993 0.834891 0.705412 0.587846
0.836864 0.920891 0.715650 0.627641
0.870689 0.996495 0.654219 0.676280
0.910150 0.987044 0.631466 0.717845
0.907332 0.915220 0.656494 0.717845
0.828408 0.849067 0.711100 0.668321
0.794584 0.801814 0.733852 0.602880
0.834045 0.843396 0.682659 0.551588
0.897466 0.924671 0.610989 0.485262
0.989074 0.976649 0.513154 0.422473
1.007396 0.994605 0.443759 0.403017
0.990483 0.994605 0.438071 0.426895
0.970752 1.018231 0.505190 0.500296
0.935519 1.022956 0.584824 0.528595
0.903104 0.943572 0.551833 0.487030
0.889010 0.824495 0.480163 0.462269
0.883373 0.768737 0.402804 0.418936
0.896057 0.817880 0.308382 0.389752
0.908741 0.934121 0.281079 0.408323
0.905922 1.031462 0.324308 0.416283
0.955250 1.125967 0.419869 0.464037
1.021489 1.159989 0.523392 0.523289
1.091957 1.111791 0.614402 0.576349
1.107460 1.014451 0.603026 0.596689
1.086319 0.979484 0.516566 0.556894
1.044039 1.011615 0.436933 0.483493
1.032764 1.087220 0.380052 0.449888
1.062360 1.223307 0.430107 0.481724
1.084910 1.342384 0.527943 0.525057
1.125781 1.388691 0.590512 0.568390
1.159605 1.368845 0.612127 0.583424
1.203295 1.312142 0.612127 0.543628
1.213161 1.236538 0.640567 0.517098
1.259669 1.151483 0.646255 0.517982
1.324500 1.092890 0.550695 0.502064
1.313225 1.058868 0.407355 0.497642
1.266716 1.041857 0.340235 0.503833
1.242757 1.043747 0.399391 0.533901
1.194839 1.061703 0.539319 0.533901
1.208933 1.066428 0.656494 0.528595
1.256851 1.050363 0.770256 0.533901
1.279400 1.035242 0.811211 0.544513
1.308997 1.009725 0.753192 0.558662
1.299131 0.987044 0.636017 0.550703
1.273763 0.964363 0.593925 0.520635
1.238529 0.969088 0.632604 0.516214
1.176518 0.983264 0.723614 0.550703
1.166652 0.986099 0.887431 0.602880
1.180746 0.979484 1.030772 0.628526
1.175108 0.951132 1.086515 0.660362
1.159605 0.943572 1.062625 0.676280
1.144103 0.930341 0.994368 0.688661
1.107460 0.933176 0.903358 0.714307
1.070816 0.936011 0.800972 0.756756
1.000349 0.900099 0.730439 0.802742
0.907332 0.861352 0.689485 0.784171
0.807268 0.846231 0.669008 0.712539
0.663514 0.824495 0.671283 0.655056
0.542310 0.785748 0.692898 0.594036
0.516941 0.763067 0.698586 0.590499
0.567678 0.733770 0.679246 0.630294
0.664923 0.716759 0.661045 0.674512
0.767806 0.695023 0.630329 0.722266
0.821361 0.691243 0.603026 0.716960
0.825589 0.675177 0.575723 0.680702
0.812905 0.652496 0.581411 0.626757
0.769215 0.626979 0.598475 0.565737
0.698748 0.608078 0.601888 0.535669
0.611368 0.592958 0.593925 0.517982
0.526807 0.569331 0.559796 0.508255
0.453521 0.549485 0.550695 0.495874
0.383053 0.546650 0.534768 0.471112
0.329498 0.540035 0.538181 0.459616
0.306948 0.507903 0.541594 0.415398
0.281580 0.435134 0.498364 0.338460
0.264668 0.330233 0.451722 0.248257
0.309767 0.231003 0.433520 0.177509
0.399965 0.254629 0.407355 0.066966
0.538082 0.386936 0.360712 -0.025006
0.633918 0.525859 0.333409 -0.055074
0.693110 0.663836 0.298143 -0.016163
0.691701 0.764012 0.277666 0.071387
0.656467 0.809374 0.251500 0.128870
0.562041 0.802759 0.246950 0.154516
0.547947 0.702584 0.227610 0.141251
0.617005 0.575947 0.200307 0.112952
0.686064 0.524914 0.169592 0.079347
0.714251 0.575002 0.146839 0.032476
0.715660 0.721485 0.128637 -0.041809
0.719888 0.919945 0.100197 -0.134665
0.750894 1.137307 0.076307 -0.162964
0.794584 1.292296 0.072894 -0.171808
0.879145 1.308362 0.064930 -0.200107
1.007396 1.232758 0.026251 -0.192148
1.156787 1.167549 -0.061346 -0.206297
1.242757 1.137307 -0.187622 -0.275276
1.296313 1.141088 -0.307072 -0.277929
1.293494 1.183615 -0.278632 -0.237250
1.225845 1.279065 -0.119364 -0.162964
1.230073 1.413262 0.047866 -0.059496
1.270944 1.556910 0.213959 0.010368
1.365371 1.624009 0.334547 0.048394
1.417517 1.644800 0.389153 0.045741
1.409061 1.624954 0.381189 0.010368
1.440066 1.589042 0.260601 -0.006435
1.430201 1.546515 0.108160 0.013021
1.393558 1.512493 0.046728 0.061660
1.369599 1.498317 0.107022 -0.001129
1.280810 1.498317 0.283354 0.014789
1.241348 1.521943 0.522255 0.072272
1.180746 1.530449 0.783908 0.150979
1.138465 1.519108 0.970478 0.269481
1.159605 1.528559 0.989817 0.401249
1.217389 1.585262 0.898808 0.500296
1.266716 1.652360 0.820312 0.590499
1.304769 1.663701 0.783908 0.628526
1.344231 1.549350 0.788458 0.636485
1.341412 1.401922 0.839651 0.626757
1.344231 1.257329 0.954551 0.582540
1.330137 1.214802 1.116093 0.599342
1.283628 1.279065 1.289012 0.713423
1.280810 1.396252 1.369783 0.854918
1.285038 1.508713 1.394811 0.971652
1.301950 1.565416 1.370921 0.976074
1.297722 1.569196 1.327691 0.968999
1.249804 1.555965 1.276498 0.914170
1.231482 1.544625 1.235544 0.845191
1.215980 1.556910 1.218479 0.806279
1.227254 1.587152 1.218479 0.770906
1.177927 1.643855 1.246920 0.755872
1.152559 1.670316 1.257159 0.729341
1.152559 1.584317 1.243507 0.709886
1.149740 1.485086 1.254883 0.730226
1.173699 1.381131 1.323141 0.784171
1.144103 1.359394 1.403912 0.838116
1.138465 1.373570 1.417563 0.875258
1.128600 1.434999 1.279911 0.933625
1.093366 1.473746 1.102442 0.978727
1.059542 1.385856 0.928386 0.995530
0.967934 1.232758 0.877193 0.975190
0.850958 1.130692 0.954551 0.915938
0.731163 1.103285 1.095616 0.857572
0.639555 1.167549 1.230993 0.845191
0.593046 1.280010 1.299251 0.864646
0.569087 1.361285 1.303801 0.869068
0.586000 1.381131 1.287875 0.861993
0.619824 1.299856 1.274223 0.848728
0.648011 1.155263 1.289012 0.823966
0.725525 1.065483 1.325416 0.822198
0.769215 1.028626 1.393673 0.842538
0.704385 1.008780 1.425527 0.868184
0.611368 0.988934 1.322003 0.903558
0.521169 0.944517 1.202553 0.923898
0.432380 0.899154 1.077414 0.951312
0.359094 0.822605 1.051249 0.940700
0.253393 0.755506 1.068313 0.885871
0.223796 0.726210 1.142259 0.819545
0.226615 0.661001 1.188901 0.753219
0.229434 0.616584 1.083102 0.676280
0.260440 0.569331 0.898808 0.621451
0.254802 0.557991 0.775944 0.510908
0.301311 0.575002 0.742953 0.404786
0.364731 0.608078 0.820312 0.379140
0.368960 0.638320 0.955689 0.386215
0.270305 0.632650 1.053524 0.442813
0.251983 0.586342 1.077414 0.499411
0.257621 0.543815 0.979579 0.520635
0.209703 0.509793 0.805523 0.493221
0.222387 0.490892 0.697448 0.464922
0.271714 0.527749 0.653081 0.432201
0.383053 0.625089 0.629191 0.352610
